Iterations: 24072
Time taken: 12.455742
x,	phi(x,0)
-1.0000	+0.0000
-0.9900	+0.0038
-0.9800	+0.0075
-0.9700	+0.0111
-0.9600	+0.0146
-0.9500	+0.0180
-0.9400	+0.0213
-0.9300	+0.0246
-0.9200	+0.0277
-0.9100	+0.0308
-0.9000	+0.0338
-0.8900	+0.0367
-0.8800	+0.0395
-0.8700	+0.0422
-0.8600	+0.0449
-0.8500	+0.0474
-0.8400	+0.0500
-0.8300	+0.0524
-0.8200	+0.0548
-0.8100	+0.0571
-0.8000	+0.0593
-0.7900	+0.0615
-0.7800	+0.0636
-0.7700	+0.0656
-0.7600	+0.0676
-0.7500	+0.0695
-0.7400	+0.0714
-0.7300	+0.0732
-0.7200	+0.0749
-0.7100	+0.0766
-0.7000	+0.0783
-0.6900	+0.0799
-0.6800	+0.0814
-0.6700	+0.0829
-0.6600	+0.0844
-0.6500	+0.0858
-0.6400	+0.0872
-0.6300	+0.0885
-0.6200	+0.0898
-0.6100	+0.0911
-0.6000	+0.0923
-0.5900	+0.0935
-0.5800	+0.0946
-0.5700	+0.0958
-0.5600	+0.0969
-0.5500	+0.0979
-0.5400	+0.0990
-0.5300	+0.1000
-0.5200	+0.1010
-0.5100	+0.1019
-0.5000	+0.1029
-0.4900	+0.1038
-0.4800	+0.1047
-0.4700	+0.1055
-0.4600	+0.1064
-0.4500	+0.1072
-0.4400	+0.1081
-0.4300	+0.1089
-0.4200	+0.1097
-0.4100	+0.1104
-0.4000	+0.1112
-0.3900	+0.1120
-0.3800	+0.1127
-0.3700	+0.1135
-0.3600	+0.1142
-0.3500	+0.1149
-0.3400	+0.1156
-0.3300	+0.1164
-0.3200	+0.1171
-0.3100	+0.1178
-0.3000	+0.1185
-0.2900	+0.1192
-0.2800	+0.1199
-0.2700	+0.1206
-0.2600	+0.1213
-0.2500	+0.1220
-0.2400	+0.1227
-0.2300	+0.1234
-0.2200	+0.1242
-0.2100	+0.1249
-0.2000	+0.1256
-0.1900	+0.1263
-0.1800	+0.1271
-0.1700	+0.1278
-0.1600	+0.1286
-0.1500	+0.1293
-0.1400	+0.1301
-0.1300	+0.1309
-0.1200	+0.1316
-0.1100	+0.1324
-0.1000	+0.1332
-0.0900	+0.1341
-0.0800	+0.1349
-0.0700	+0.1357
-0.0600	+0.1366
-0.0500	+0.1374
-0.0400	+0.1383
-0.0300	+0.1392
-0.0200	+0.1401
-0.0100	+0.1410
+0.0000	+0.1420
+0.0100	+0.1429
+0.0200	+0.1439
+0.0300	+0.1448
+0.0400	+0.1458
+0.0500	+0.1468
+0.0600	+0.1478
+0.0700	+0.1489
+0.0800	+0.1499
+0.0900	+0.1510
+0.1000	+0.1520
+0.1100	+0.1531
+0.1200	+0.1542
+0.1300	+0.1553
+0.1400	+0.1565
+0.1500	+0.1576
+0.1600	+0.1588
+0.1700	+0.1600
+0.1800	+0.1612
+0.1900	+0.1624
+0.2000	+0.1636
+0.2100	+0.1648
+0.2200	+0.1661
+0.2300	+0.1674
+0.2400	+0.1686
+0.2500	+0.1699
+0.2600	+0.1712
+0.2700	+0.1726
+0.2800	+0.1739
+0.2900	+0.1752
+0.3000	+0.1766
+0.3100	+0.1780
+0.3200	+0.1793
+0.3300	+0.1807
+0.3400	+0.1821
+0.3500	+0.1835
+0.3600	+0.1849
+0.3700	+0.1864
+0.3800	+0.1878
+0.3900	+0.1893
+0.4000	+0.1907
+0.4100	+0.1922
+0.4200	+0.1936
+0.4300	+0.1951
+0.4400	+0.1966
+0.4500	+0.1980
+0.4600	+0.1995
+0.4700	+0.2010
+0.4800	+0.2025
+0.4900	+0.2040
+0.5000	+0.2055
+0.5100	+0.2070
+0.5200	+0.2085
+0.5300	+0.2099
+0.5400	+0.2114
+0.5500	+0.2129
+0.5600	+0.2144
+0.5700	+0.2158
+0.5800	+0.2173
+0.5900	+0.2188
+0.6000	+0.2202
+0.6100	+0.2217
+0.6200	+0.2231
+0.6300	+0.2245
+0.6400	+0.2259
+0.6500	+0.2273
+0.6600	+0.2287
+0.6700	+0.2300
+0.6800	+0.2314
+0.6900	+0.2327
+0.7000	+0.2340
+0.7100	+0.2353
+0.7200	+0.2365
+0.7300	+0.2378
+0.7400	+0.2390
+0.7500	+0.2402
+0.7600	+0.2413
+0.7700	+0.2425
+0.7800	+0.2436
+0.7900	+0.2447
+0.8000	+0.2457
+0.8100	+0.2467
+0.8200	+0.2477
+0.8300	+0.2486
+0.8400	+0.2495
+0.8500	+0.2503
+0.8600	+0.2511
+0.8700	+0.2519
+0.8800	+0.2526
+0.8900	+0.2533
+0.9000	+0.2539
+0.9100	+0.2545
+0.9200	+0.2550
+0.9300	+0.2555
+0.9400	+0.2559
+0.9500	+0.2562
+0.9600	+0.2565
+0.9700	+0.2568
+0.9800	+0.2569
+0.9900	+0.2570
+1.0000	+0.2571

y,	phi(0,y)
-1.0000	+0.0000
-0.9900	+0.0044
-0.9800	+0.0087
-0.9700	+0.0130
-0.9600	+0.0171
-0.9500	+0.0211
-0.9400	+0.0250
-0.9300	+0.0289
-0.9200	+0.0326
-0.9100	+0.0363
-0.9000	+0.0398
-0.8900	+0.0433
-0.8800	+0.0467
-0.8700	+0.0500
-0.8600	+0.0532
-0.8500	+0.0563
-0.8400	+0.0593
-0.8300	+0.0623
-0.8200	+0.0652
-0.8100	+0.0680
-0.8000	+0.0707
-0.7900	+0.0733
-0.7800	+0.0759
-0.7700	+0.0783
-0.7600	+0.0807
-0.7500	+0.0831
-0.7400	+0.0853
-0.7300	+0.0875
-0.7200	+0.0896
-0.7100	+0.0917
-0.7000	+0.0936
-0.6900	+0.0955
-0.6800	+0.0974
-0.6700	+0.0992
-0.6600	+0.1009
-0.6500	+0.1026
-0.6400	+0.1042
-0.6300	+0.1057
-0.6200	+0.1072
-0.6100	+0.1086
-0.6000	+0.1100
-0.5900	+0.1113
-0.5800	+0.1126
-0.5700	+0.1138
-0.5600	+0.1150
-0.5500	+0.1162
-0.5400	+0.1173
-0.5300	+0.1183
-0.5200	+0.1193
-0.5100	+0.1203
-0.5000	+0.1212
-0.4900	+0.1221
-0.4800	+0.1230
-0.4700	+0.1238
-0.4600	+0.1246
-0.4500	+0.1254
-0.4400	+0.1261
-0.4300	+0.1268
-0.4200	+0.1275
-0.4100	+0.1281
