Iterations: 38886
Time taken: 22.939908
x,	phi(x,0)
-0.3800	+0.1262
-0.3700	+0.1267
-0.3600	+0.1272
-0.3500	+0.1277
-0.3400	+0.1282
-0.3300	+0.1286
-0.3200	+0.1290
-0.3100	+0.1294
-0.3000	+0.1298
-0.2900	+0.1302
-0.2800	+0.1306
-0.2700	+0.1310
-0.2600	+0.1313
-0.2500	+0.1317
-0.2400	+0.1320
-0.2300	+0.1323
-0.2200	+0.1326
-0.2100	+0.1329
-0.2000	+0.1332
-0.1900	+0.1335
-0.1800	+0.1338
-0.1700	+0.1341
-0.1600	+0.1343
-0.1500	+0.1346
-0.1400	+0.1348
-0.1300	+0.1351
-0.1200	+0.1353
-0.1100	+0.1355
-0.1000	+0.1357
-0.0900	+0.1359
-0.0800	+0.1361
-0.0700	+0.1363
-0.0600	+0.1365
-0.0500	+0.1367
-0.0400	+0.1369
-0.0300	+0.1370
-0.0200	+0.1372
-0.0100	+0.1373
+0.0000	+0.1374
+0.0100	+0.1375
+0.0200	+0.1376
+0.0300	+0.1377
+0.0400	+0.1378
+0.0500	+0.1378
+0.0600	+0.1379
+0.0700	+0.1379
+0.0800	+0.1379
+0.0900	+0.1379
+0.1000	+0.1379
+0.1100	+0.1379
+0.1200	+0.1379
+0.1300	+0.1378
+0.1400	+0.1377
+0.1500	+0.1376
+0.1600	+0.1375
+0.1700	+0.1373
+0.1800	+0.1372
+0.1900	+0.1370
+0.2000	+0.1368
+0.2100	+0.1366
+0.2200	+0.1363
+0.2300	+0.1360
+0.2400	+0.1357
+0.2500	+0.1354
+0.2600	+0.1351
+0.2700	+0.1347
+0.2800	+0.1343
+0.2900	+0.1339
+0.3000	+0.1334
+0.3100	+0.1329
+0.3200	+0.1324
+0.3300	+0.1319
+0.3400	+0.1313
+0.3500	+0.1307
+0.3600	+0.1301
+0.3700	+0.1294
+0.3800	+0.1288
+0.3900	+0.1280
+0.4000	+0.1273
+0.4100	+0.1265
+0.4200	+0.1257
+0.4300	+0.1249
+0.4400	+0.1240
+0.4500	+0.1231
+0.4600	+0.1221
+0.4700	+0.1212
+0.4800	+0.1202
+0.4900	+0.1191
+0.5000	+0.1180
+0.5100	+0.1169
+0.5200	+0.1158
+0.5300	+0.1146
+0.5400	+0.1133
+0.5500	+0.1121
+0.5600	+0.1108
+0.5700	+0.1094
+0.5800	+0.1080
+0.5900	+0.1066
+0.6000	+0.1051
+0.6100	+0.1036
+0.6200	+0.1021
+0.6300	+0.1005
+0.6400	+0.0988
+0.6500	+0.0972
+0.6600	+0.0954
+0.6700	+0.0936
+0.6800	+0.0918
+0.6900	+0.0899
+0.7000	+0.0880
+0.7100	+0.0860
+0.7200	+0.0840
+0.7300	+0.0819
+0.7400	+0.0798
+0.7500	+0.0776
+0.7600	+0.0753
+0.7700	+0.0730
+0.7800	+0.0706
+0.7900	+0.0682
+0.8000	+0.0657
+0.8100	+0.0631
+0.8200	+0.0605
+0.8300	+0.0578
+0.8400	+0.0551
+0.8500	+0.0522
+0.8600	+0.0493
+0.8700	+0.0463
+0.8800	+0.0433
+0.8900	+0.0401
+0.9000	+0.0369
+0.9100	+0.0336
+0.9200	+0.0302
+0.9300	+0.0268
+0.9400	+0.0232
+0.9500	+0.0196
+0.9600	+0.0159
+0.9700	+0.0120
+0.9800	+0.0081
+0.9900	+0.0041
+1.0000	+0.0000
