x,   u_actual, u_fou, u_quick, t=0.000000
+0.0000, +0.0000, +0.0000, +0.0000
+0.0020, +0.0251, +0.0251, +0.0251
+0.0040, +0.0502, +0.0502, +0.0502
+0.0060, +0.0753, +0.0753, +0.0753
+0.0080, +0.1004, +0.1004, +0.1004
+0.0100, +0.1253, +0.1253, +0.1253
+0.0120, +0.1502, +0.1502, +0.1502
+0.0140, +0.1750, +0.1750, +0.1750
+0.0160, +0.1997, +0.1997, +0.1997
+0.0180, +0.2243, +0.2243, +0.2243
+0.0200, +0.2487, +0.2487, +0.2487
+0.0220, +0.2730, +0.2730, +0.2730
+0.0240, +0.2970, +0.2970, +0.2970
+0.0260, +0.3209, +0.3209, +0.3209
+0.0280, +0.3446, +0.3446, +0.3446
+0.0300, +0.3681, +0.3681, +0.3681
+0.0320, +0.3914, +0.3914, +0.3914
+0.0340, +0.4144, +0.4144, +0.4144
+0.0360, +0.4371, +0.4371, +0.4371
+0.0380, +0.4596, +0.4596, +0.4596
+0.0400, +0.4818, +0.4818, +0.4818
+0.0420, +0.5036, +0.5036, +0.5036
+0.0440, +0.5252, +0.5252, +0.5252
+0.0460, +0.5464, +0.5464, +0.5464
+0.0480, +0.5673, +0.5673, +0.5673
+0.0500, +0.5878, +0.5878, +0.5878
+0.0520, +0.6079, +0.6079, +0.6079
+0.0540, +0.6277, +0.6277, +0.6277
+0.0560, +0.6471, +0.6471, +0.6471
+0.0580, +0.6660, +0.6660, +0.6660
+0.0600, +0.6845, +0.6845, +0.6845
+0.0620, +0.7026, +0.7026, +0.7026
+0.0640, +0.7203, +0.7203, +0.7203
+0.0660, +0.7375, +0.7375, +0.7375
+0.0680, +0.7543, +0.7543, +0.7543
+0.0700, +0.7705, +0.7705, +0.7705
+0.0720, +0.7863, +0.7863, +0.7863
+0.0740, +0.8016, +0.8016, +0.8016
+0.0760, +0.8163, +0.8163, +0.8163
+0.0780, +0.8306, +0.8306, +0.8306
+0.0800, +0.8443, +0.8443, +0.8443
+0.0820, +0.8575, +0.8575, +0.8575
+0.0840, +0.8702, +0.8702, +0.8702
+0.0860, +0.8823, +0.8823, +0.8823
+0.0880, +0.8938, +0.8938, +0.8938
+0.0900, +0.9048, +0.9048, +0.9048
+0.0920, +0.9152, +0.9152, +0.9152
+0.0940, +0.9251, +0.9251, +0.9251
+0.0960, +0.9343, +0.9343, +0.9343
+0.0980, +0.9430, +0.9430, +0.9430
+0.1000, +0.9511, +0.9511, +0.9511
+0.1020, +0.9585, +0.9585, +0.9585
+0.1040, +0.9654, +0.9654, +0.9654
+0.1060, +0.9716, +0.9716, +0.9716
+0.1080, +0.9773, +0.9773, +0.9773
