Iterations: 24330
Time taken: 6.220050
x,	phi(x,0)
-0.3800	+0.1299
-0.3700	+0.1305
-0.3600	+0.1310
-0.3500	+0.1315
-0.3400	+0.1320
-0.3300	+0.1325
-0.3200	+0.1330
-0.3100	+0.1334
-0.3000	+0.1338
-0.2900	+0.1343
-0.2800	+0.1347
-0.2700	+0.1351
-0.2600	+0.1354
-0.2500	+0.1358
-0.2400	+0.1362
-0.2300	+0.1365
-0.2200	+0.1368
-0.2100	+0.1372
-0.2000	+0.1375
-0.1900	+0.1378
-0.1800	+0.1381
-0.1700	+0.1384
-0.1600	+0.1387
-0.1500	+0.1389
-0.1400	+0.1392
-0.1300	+0.1395
-0.1200	+0.1397
-0.1100	+0.1399
-0.1000	+0.1402
-0.0900	+0.1404
-0.0800	+0.1406
-0.0700	+0.1408
-0.0600	+0.1410
-0.0500	+0.1412
-0.0400	+0.1413
-0.0300	+0.1415
-0.0200	+0.1416
-0.0100	+0.1418
+0.0000	+0.1419
+0.0100	+0.1420
+0.0200	+0.1421
+0.0300	+0.1422
+0.0400	+0.1423
+0.0500	+0.1423
+0.0600	+0.1424
+0.0700	+0.1424
+0.0800	+0.1424
+0.0900	+0.1424
+0.1000	+0.1424
+0.1100	+0.1423
+0.1200	+0.1423
+0.1300	+0.1422
+0.1400	+0.1421
+0.1500	+0.1420
+0.1600	+0.1418
+0.1700	+0.1417
+0.1800	+0.1415
+0.1900	+0.1413
+0.2000	+0.1410
+0.2100	+0.1408
+0.2200	+0.1405
+0.2300	+0.1402
+0.2400	+0.1399
+0.2500	+0.1395
+0.2600	+0.1392
+0.2700	+0.1388
+0.2800	+0.1383
+0.2900	+0.1379
+0.3000	+0.1374
+0.3100	+0.1369
+0.3200	+0.1363
+0.3300	+0.1358
+0.3400	+0.1352
+0.3500	+0.1345
+0.3600	+0.1339
+0.3700	+0.1332
+0.3800	+0.1325
+0.3900	+0.1317
+0.4000	+0.1309
+0.4100	+0.1301
+0.4200	+0.1293
+0.4300	+0.1284
+0.4400	+0.1274
+0.4500	+0.1265
